type,x,y,paired
driver,4877.976548647744,8447.912263306793,False
driver,4840.564672386043,8191.370518039321,False
driver,4832.073155563443,8308.17156669198,False
driver,4704.606996808479,8469.272781716732,False
driver,4861.033820657433,8353.833623319228,False
driver,4785.339983068104,8135.91041481723,False
driver,4930.624161152795,8196.295892161801,False
driver,4678.756408127526,8467.78032192354,False
driver,4785.215774339037,8403.238817887715,False
driver,4953.987693035118,8163.290843663842,False
driver,4905.031407780402,8243.080551907557,False
driver,4784.9221858456385,8244.93763377572,False
driver,4838.323430144877,8437.924197456123,False
driver,4866.501712434689,8110.917873651582,False
driver,4747.579621988247,8407.583400402986,False
driver,4762.252952286335,8381.143974788276,False
driver,4827.934260896761,8243.54914337718,False
driver,4842.010947096519,8445.51639013979,False
driver,4779.694325836076,8180.797105593318,False
driver,4757.022193703138,8329.027275770168,False
driver,4817.268856819448,8204.881994849111,False
driver,4959.084041447984,8159.178882826908,False
driver,4787.919254390638,8265.893534616556,False
driver,4650.093559522953,8154.283113019979,False
driver,4763.756177778031,8323.996200363748,False
driver,4954.769489068212,8487.127629931581,False
driver,4668.499957961813,8436.60507506074,False
driver,4975.6854623834315,8260.916931656602,False
driver,4635.464953884838,8129.126839410231,False
driver,4974.439230153389,8499.999418294867,False
driver,4919.7985313710815,8287.4228328017,False
driver,4738.0541673224,8119.32615180292,False
driver,4925.904587637124,8121.432214844205,False
driver,4906.197572834588,8112.145705997188,False
driver,4989.407932833264,8430.824557133748,False
driver,4606.560749583215,8314.366399228864,False
driver,4794.750328973556,8123.888447353911,False
driver,4807.8218900794045,8250.76038732935,False
driver,4854.503066241091,8414.675290809599,False
driver,4619.155148506162,8343.072530337993,False
driver,4767.30487005325,8365.399008004559,False
driver,4633.59116323645,8340.586671195837,False
driver,4780.326092054078,8354.887097601371,False
driver,4665.248771057793,8152.766416300418,False
driver,4889.783194525513,8351.262032137303,False
driver,4896.409748727398,8210.087695866954,False
driver,4769.414947721678,8345.448256619015,False
driver,4927.586587219237,8319.541328570598,False
driver,4875.921728611982,8437.79312361427,False
driver,4608.454068318559,8471.547858182998,False
driver,4606.441537299462,8429.98690476922,False
driver,4718.426374244376,8230.175800046254,False
driver,4731.41090948427,8215.349468969713,False
driver,4893.032753189597,8419.333112799437,False
driver,4899.436224045837,8438.225665057413,False
driver,4972.3705563020685,8272.594622497842,False
driver,4648.596322995051,8386.110490690342,False
driver,4857.276076515156,8294.226768167984,False
driver,4779.675654054069,8480.733913189899,False
driver,4959.462067938284,8206.279340383335,False
driver,4911.149004226141,8214.539643672762,False
driver,4721.8869306551005,8217.365768879383,False
driver,4994.13135684961,8478.149056595275,False
driver,4658.9500386642785,8483.477704016528,False
driver,4914.50043856605,8151.760407732325,False
driver,4878.442118049452,8338.341107694569,False
driver,4883.326045769518,8326.830359759928,False
driver,4654.413527675256,8103.1615233328275,False
driver,4982.127272626811,8487.30110405324,False
driver,4780.993403702679,8154.443707492763,False
driver,4725.704973146211,8351.443214812305,False
driver,4894.016842824077,8384.737370145103,False
driver,4976.159976947104,8132.774740938414,False
driver,4710.721589400825,8166.985657092031,False
driver,4899.577559337182,8260.271502963995,False
driver,4829.073254342008,8133.94909962124,False
driver,4944.222606924056,8336.23736393884,False
driver,4732.694681590196,8133.1795128597905,False
driver,4919.918732526693,8131.084231468072,False
driver,4848.202367767446,8489.533871899543,False
driver,4798.16835531804,8293.135401807029,False
driver,4698.371141729549,8401.36472929541,False
driver,4822.718576342932,8332.82430919336,False
driver,4713.285553527159,8153.768738501481,False
driver,4683.457751932195,8277.943726128176,False
driver,4948.2021530345155,8489.333084964319,False
driver,4970.217951118947,8279.01625410308,False
driver,4930.288708132097,8298.596809698725,False
driver,4714.559583777652,8340.839489894726,False
driver,4607.010012905187,8162.5631867655475,False
driver,4602.636895505178,8209.332938362535,False
driver,4966.00653860612,8302.48424706747,False
driver,4793.317920364099,8327.465494922653,False
driver,4670.484516036146,8398.716496416551,False
driver,4644.053630385007,8237.563608306855,False
driver,4958.798135276353,8201.246471117134,False
driver,4948.887261246531,8492.124984855993,False
driver,4672.543613978853,8386.79502570657,False
driver,4745.9713339294485,8257.582354271482,False
driver,4882.099996756457,8396.485454674783,False
driver,4956.402630047653,8218.052502932536,False
driver,4898.6365946470405,8198.34419758593,False
driver,4936.544931117676,8235.175325110175,False
driver,4924.194294406932,8148.403241724281,False
driver,4673.499300790373,8181.88873523114,False
driver,4914.89291449275,8235.262287712949,False
driver,4938.818396787661,8237.462692882276,False
driver,4933.209043240623,8463.273277653308,False
driver,4999.856031032297,8340.46449238244,False
driver,4640.445922637399,8394.665470924547,False
driver,4645.962222558759,8247.081186975749,False
driver,4900.961559087142,8250.93065053458,False
driver,4818.604731494389,8118.659190512605,False
driver,4963.2396754165175,8412.274823535403,False
driver,4888.147463615009,8152.784966421587,False
driver,4863.711221670369,8339.213351909815,False
driver,4888.316917530226,8483.703829842507,False
driver,4848.205772230998,8288.014955267347,False
driver,4928.505758472742,8222.185477792818,False
driver,4635.757888743072,8446.986313872098,False
driver,4709.4636809118365,8130.873308174131,False
driver,4788.79644258188,8478.200228358904,False
driver,4810.280927367088,8258.00447215917,False
driver,4848.349332236741,8482.77621982316,False
driver,4795.098792804442,8478.855303239448,False
driver,4928.501631695131,8112.882778537718,False
driver,4788.03208614671,8187.847717988686,False
driver,4790.178310712875,8158.924854903323,False
driver,4984.097874498888,8348.042834758617,False
driver,4937.740668664125,8359.022418599465,False
driver,4604.502321218017,8288.42514339199,False
driver,4826.554689273864,8374.540363770453,False
driver,4953.515082100125,8493.286261551297,False
driver,4695.610618716383,8223.076400913687,False
driver,4771.534698671396,8107.822485644646,False
driver,4774.701828110414,8106.42861415154,False
driver,4617.4180094057565,8313.588774657102,False
driver,4727.298799683594,8295.403355473298,False
driver,4846.780654115657,8146.15303635899,False
driver,4760.835340639305,8308.769386862314,False
driver,4908.678675084125,8439.812771121819,False
driver,4648.787707212146,8235.920780398363,False
driver,4763.164116077941,8450.131095464685,False
driver,4654.019936609727,8292.495046077227,False
driver,4913.484539924832,8347.842211831452,False
driver,4851.050880784038,8385.046592045179,False
driver,4800.799548865042,8406.275525622044,False
driver,4757.942074295723,8329.359879379688,False
driver,4904.729332755762,8171.669554976905,False
driver,4971.5715449892905,8230.068036429451,False
driver,4832.008163138122,8484.704864175443,False
driver,4627.664223725037,8357.271190647074,False
driver,4834.577969270834,8313.96622082982,False
driver,4730.783226745367,8186.022474098352,False
driver,4940.831313974635,8327.42845625741,False
driver,4967.50151117096,8498.497860489348,False
driver,4796.481821821449,8436.222635079257,False
driver,4928.9591564343455,8315.003629787596,False
driver,4679.721766665093,8184.500285360524,False
driver,4925.691144748263,8303.350740619946,False
driver,4643.1984596346765,8416.320131458833,False
driver,4962.217376066449,8417.77898265544,False
driver,4652.577914527971,8371.994654788517,False
driver,4802.224852730402,8358.17111850109,False
driver,4927.002687386428,8262.47624300511,False
driver,4848.397627453854,8385.820743662742,False
driver,4746.699693230379,8309.45004554714,False
driver,4940.5675295226465,8439.350456656652,False
driver,4725.308387921661,8169.236954864282,False
driver,4672.369164571448,8203.70969924614,False
driver,4824.446707572236,8323.29860730994,False
driver,4883.818524815125,8401.569003553033,False
driver,4736.667135157664,8291.612837107657,False
driver,4940.243058325552,8181.727450972338,False
driver,4991.240951949645,8398.46102842036,False
driver,4627.119860971613,8346.69677874868,False
driver,4916.842193901424,8371.962675009529,False
driver,4996.647446090993,8230.600300451133,False
